Date,Comment,tokens_stopword,clean_text
2026-03-21T05:01:03Z,"['pak', 'prabowo', 'tolong', 'hapuskan', 'outsourcing']","['prabowo', 'hapuskan', 'outsourcing']",prabowo hapuskan outsourcing
2026-03-21T04:58:16Z,"['tidak', 'mungkin', 'industrialisasi', 'nasional', 'kalao', 'monopoli', 'tanah', 'oleh', 'tuan', 'tuan', 'tanah', 'besar', 'masih', 'berdominasi', 'indonesia', 'dibutuhkan', 'reforma', 'agraria', 'kalau', 'mau', 'sungguh', 'membangun', 'industri', 'nasional']","['tidak', 'mungkin', 'industrialisasi', 'nasional', 'kalao', 'monopoli', 'tanah', 'tuan', 'tuan', 'tanah', 'besar', 'berdominasi', 'indonesia', 'dibutuhkan', 'reforma', 'agraria', 'kalau', 'mau', 'sungguh', 'membangun', 'industri', 'nasional']",tidak mungkin industrialisasi nasional kalao monopoli tanah tuan tuan tanah besar berdominasi indonesia dibutuhkan reforma agraria kalau mau sungguh membangun industri nasional
2026-03-21T04:55:12Z,"['tolong', 'pak', 'jangan', 'budayakan', 'abs', 'tolong', 'dicek', 'langsung', 'itu', 'menyesatkanakhirnya', 'rakyat', 'jadi', 'korban']","['jangan', 'budayakan', 'abs', 'dicek', 'langsung', 'menyesatkanakhirnya', 'rakyat', 'korban']",jangan budayakan abs dicek langsung menyesatkanakhirnya rakyat korban
2026-03-21T04:54:57Z,"['ikn', 'apa', 'kabar']","['ikn', 'apa', 'kabar']",ikn apa kabar
2026-03-21T04:54:37Z,"['tombol', 'skip', 'mbak', 'nana']","['tombol', 'skip', 'nana']",tombol skip nana
2026-03-21T04:54:08Z,"['ilmu', 'tinggi', 'ngomong', 'tidak', 'beretika', 'ada', 'gunanya', 'ilmu', 'tinggi', 'tidak', 'beradab']","['ilmu', 'tinggi', 'ngomong', 'tidak', 'beretika', 'gunanya', 'ilmu', 'tinggi', 'tidak', 'beradab']",ilmu tinggi ngomong tidak beretika gunanya ilmu tinggi tidak beradab
2026-03-21T04:52:39Z,"['nggak', 'ahh', 'bapak', 'tidak', 'date', 'sama', 'sekali', 'berita', 'yang', 'dalam', 'negeri', 'aja', 'yang', 'viral', 'bapak', 'gatau']","['ahh', 'tidak', 'date', 'sama', 'sekali', 'berita', 'negeri', 'aja', 'viral', 'gatau']",ahh tidak date sama sekali berita negeri aja viral gatau
2026-03-21T04:52:24Z,"['jogetin', 'aja', 'pak']","['jogetin', 'aja']",jogetin aja
2026-03-21T04:52:21Z,"['drama', 'kau', 'pak', 'rakyat', 'juga', 'tau', 'siapa', 'kau', 'sebenarnya', 'ingat', 'mati', 'pak']","['drama', 'kau', 'rakyat', 'tau', 'siapa', 'kau', 'sebenarnya', 'ingat', 'mati']",drama kau rakyat tau siapa kau sebenarnya ingat mati
2026-03-21T04:48:16Z,"['kita', 'liat', 'aja', 'nanti', 'apakah', 'yang', 'blng', 'beliau', 'itu', 'semua', 'terealisasi', 'walau', 'cuman', 'mimpi', 'cuman', 'mbk', 'nana', 'yang', 'netral', 'yang', 'lain', 'cuman', 'nampang', 'muka']","['liat', 'aja', 'blng', 'beliau', 'semua', 'terealisasi', 'cuman', 'mimpi', 'cuman', 'mbk', 'nana', 'netral', 'cuman', 'nampang', 'muka']",liat aja blng beliau semua terealisasi cuman mimpi cuman mbk nana netral cuman nampang muka
